id,created_at,provider_name,sku_provider,raw_title,price,currency,metadata,status,normalized_product_id
1148,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1388,Portátil X - One Solo Frío,7032.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1388-portatil-x-one.html"",""last_error"":null,""scraped_at"":1766775478.9277523,""internal_id"":""1388"",""category_original"":""Aire Acondicionado""}",processed,38493778-051c-4699-95ca-a9823f7cce68
1149,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1389,Portátil X - One Con Calefacción,9718.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1389-portatil-x-one-4-en-1.html"",""last_error"":null,""scraped_at"":1766775478.9287832,""internal_id"":""1389"",""category_original"":""Aire Acondicionado""}",processed,e5616104-7108-4929-affb-8cd5cf0134ad
1150,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1943,Life 12 + 1 Ton Frío - Calor  110v,6707.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1943-life-12-1-ton-frio-calor-110v.html"",""last_error"":null,""scraped_at"":1766775478.9298627,""internal_id"":""1943"",""category_original"":""Aire Acondicionado""}",processed,b4ccc678-20b9-4ae6-a6ad-11854cd08c37
1151,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1944,Life 12 + 1 Ton Frío - Calor  220v,6173.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1944-life-12-1-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9308665,""internal_id"":""1944"",""category_original"":""Aire Acondicionado""}",processed,991b6dec-8141-419c-9444-e3b4a51aae8c
1152,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1946,Life 12+ 1.5 Ton Frío - Calor  220v,9448.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1946-life-12-15-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9318404,""internal_id"":""1946"",""category_original"":""Aire Acondicionado""}",processed,49ad6d8e-8de8-4d13-83e2-face95afa0b1
1153,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-2218,Life 12 + 2 Ton Frío 220v,11505.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/2218-life-12-2-ton-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.932779,""internal_id"":""2218"",""category_original"":""Aire Acondicionado""}",processed,d1da97aa-78d6-49eb-9df5-ed3607b8e254
1154,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1945,Life 12 + 2 Ton Frío - Calor  220v,12582.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1945-life-12-2-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9337716,""internal_id"":""1945"",""category_original"":""Aire Acondicionado""}",processed,4ac2be72-41a0-4d67-809a-9356efbe0600
1155,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1910,Inverter X 1 Ton Frío 110V,6756.26,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1910-inverter-x-1-ton-frio-110v.html"",""last_error"":null,""scraped_at"":1766775478.9347456,""internal_id"":""1910"",""category_original"":""Aire Acondicionado""}",processed,526d4ffc-8129-49d3-b1f3-c2c739e8d07c
1156,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1912,Inverter X 1 Ton Frío 220V,6531.86,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1912-inverter-x-1-ton-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.9357135,""internal_id"":""1912"",""category_original"":""Aire Acondicionado""}",processed,a41a519f-94d7-4126-a933-f05b0a1737f7
1157,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1914,Inverter X 1.5 Ton  Frío 220V,9469.69,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1914-inverter-x-15-ton-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.9366772,""internal_id"":""1914"",""category_original"":""Aire Acondicionado""}",processed,347139b9-911e-45fb-a9a4-a7b6edd39c90
1158,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1915,Inverter X 1.5 Ton Frío - Calor 220V,10139.34,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1915-inverter-x-15-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.937665,""internal_id"":""1915"",""category_original"":""Aire Acondicionado""}",processed,d3866363-059b-4092-bac2-31df512e599a
1159,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1916,Inverter X 2 Ton Frío 220V,12435.77,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1916-inverter-x-2-ton-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.9386334,""internal_id"":""1916"",""category_original"":""Aire Acondicionado""}",processed,8c123087-7bde-4c60-a03f-79b52b36cd3c
1160,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1936,Magnum 22 1 Ton Frío - Calor 110v,12348.55,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1936-magnum-22-1-ton-frio-calor-110v.html"",""last_error"":null,""scraped_at"":1766775478.9395974,""internal_id"":""1936"",""category_original"":""Aire Acondicionado""}",processed,88f97eb3-bc9f-4c77-b52d-6b54182741ed
1161,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1938,Magnum 22 1 Ton Frío - Calor 220v,12106.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1938-magnum-22-1-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9405606,""internal_id"":""1938"",""category_original"":""Aire Acondicionado""}",processed,5a64b81e-2e85-4671-b455-2740b87c79b2
1162,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1939,Magnum 22 1.5 Ton Frío 220v,15844.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1939-magnum-22-15-ton-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.9416373,""internal_id"":""1939"",""category_original"":""Aire Acondicionado""}",processed,55dc5a2f-452d-4075-b800-46204e47a46b
1163,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-2198,Magnum 22 1.5 Ton Frío - Calor 220v,16624.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/2198-magnum-22-15-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9426072,""internal_id"":""2198"",""category_original"":""Aire Acondicionado""}",processed,61abe365-b706-4726-902b-f504da4414b0
1164,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-2221,Magnum 22 2 Ton Frío 220v,20757.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/2221-magnum-22-2-ton-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.9435902,""internal_id"":""2221"",""category_original"":""Aire Acondicionado""}",processed,dab6a816-bbb4-4cd5-9005-61088948c72e
1165,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1948,Magnum 22 2 Ton Frío - Calor 220v,22347.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1948-magnum-22-2-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9445517,""internal_id"":""1948"",""category_original"":""Aire Acondicionado""}",processed,7b7eb301-c3b4-4744-948d-05d696bce5c1
1166,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1949,NEX 1 Ton Frío 110v,5059.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1949-nex-1-ton-frio-110v.html"",""last_error"":null,""scraped_at"":1766775478.945588,""internal_id"":""1949"",""category_original"":""Aire Acondicionado""}",processed,526d4ffc-8129-49d3-b1f3-c2c739e8d07c
